N,P,K,temperature,humidity,ph,rainfall,label
23.24,136.26,197.91,21.38,98.05,6.24,130.97,apple
14.1,121.31,198.44,26.77,75.71,5.73,70.61,grapes
17.75,21.94,34.54,29.53,50.73,6.68,88.08,mango
19.72,12.02,24.15,24.08,96.16,6.26,170.94,coconut
24.28,66.93,15.31,21.61,61.52,7.07,30.4,lentil
14.37,43.28,24.38,27.79,80.81,6.68,42.71,mungbean
104.48,18.22,62.53,29.86,93.17,6.54,31.12,muskmelon
25.44,18.0,24.87,24.29,91.46,5.79,179.65,coconut
13.17,19.79,6.7,19.17,78.0,7.44,103.0,orange
91.42,18.96,48.22,24.71,95.43,6.7,20.0,muskmelon
24.63,18.06,10.54,18.51,100.0,7.6,150.62,orange
21.08,64.88,22.1,25.15,50.7,5.77,132.94,pigeonpeas
18.81,145.0,205.0,21.55,77.13,5.43,139.5,apple
43.36,79.65,95.21,17.89,14.95,7.38,104.08,chickpea
48.48,67.19,33.59,27.78,57.76,6.89,83.73,blackgram
98.5,29.21,28.7,22.03,52.73,6.88,147.04,coffee
26.41,40.96,11.12,21.5,22.31,5.77,82.39,kidneybeans
20.21,20.7,31.79,30.97,100.0,5.84,183.68,coconut
38.01,73.14,70.45,14.84,14.0,7.1,87.85,chickpea
13.16,52.41,21.65,29.48,46.33,3.55,67.92,mothbeans
23.51,37.02,24.98,26.8,67.84,4.15,41.89,mothbeans
12.19,139.1,179.01,19.11,81.68,5.94,69.56,grapes
37.42,68.88,83.23,17.6,14.0,6.52,93.18,chickpea
25.69,13.42,7.86,25.33,91.84,6.95,90.49,orange
16.29,61.16,25.96,28.87,66.56,6.78,48.79,lentil
53.31,66.42,12.1,35.35,66.79,7.01,56.81,blackgram
91.46,78.35,62.44,29.49,75.44,5.9,134.9,banana
28.93,13.86,24.4,27.69,91.81,5.72,128.93,coconut
26.42,9.29,8.26,25.76,99.46,7.26,119.37,orange
83.31,33.09,44.44,23.65,79.79,6.7,205.94,rice
26.78,37.77,8.85,30.84,82.3,6.68,31.2,mungbean
14.07,15.23,23.63,30.44,94.03,6.16,180.06,coconut
34.05,143.79,196.69,22.18,81.61,6.07,68.09,grapes
32.52,57.75,21.29,25.6,37.2,3.5,70.26,mothbeans
22.68,16.07,31.64,28.44,100.0,6.16,168.79,coconut
25.7,56.29,25.56,16.29,22.02,5.32,92.37,kidneybeans
28.26,15.08,37.97,25.04,94.06,6.01,181.01,coconut
14.14,41.67,21.54,29.54,50.42,3.68,54.65,mothbeans
103.25,88.6,57.73,29.36,85.11,5.54,114.66,banana
28.39,10.35,14.59,25.18,88.26,6.96,127.39,orange
99.14,9.35,37.08,25.34,95.86,6.86,51.36,watermelon
116.9,24.33,44.7,27.77,55.44,7.12,194.43,coffee
48.98,72.38,21.27,29.23,74.55,6.86,71.16,blackgram
89.81,13.47,56.59,28.97,96.78,6.19,20.78,muskmelon
114.85,23.49,28.25,28.44,53.68,7.18,129.9,coffee
98.6,15.14,42.25,24.17,91.53,6.01,22.58,muskmelon
20.24,116.85,205.0,21.02,93.46,6.3,160.19,apple
78.95,88.87,41.55,27.63,76.86,5.67,123.05,banana
74.36,48.82,17.77,21.04,66.61,5.78,72.81,maize
103.8,17.32,51.73,24.91,91.26,5.95,37.24,muskmelon
36.03,77.48,13.85,33.48,63.97,6.39,52.23,blackgram
15.56,125.68,180.3,19.45,80.29,6.26,45.49,apple
48.32,77.71,19.62,29.96,78.4,6.91,42.93,blackgram
16.17,32.17,11.81,27.87,50.23,3.5,65.37,mothbeans
113.14,13.45,46.2,27.18,84.81,6.75,56.63,watermelon
108.65,61.75,49.88,28.67,84.04,6.07,101.08,banana
110.91,15.74,52.47,24.4,83.32,6.55,42.73,watermelon
12.26,51.17,9.34,28.29,46.24,3.56,28.04,mothbeans
83.57,36.43,46.62,21.8,78.18,6.29,166.13,rice
25.08,14.65,23.0,23.19,96.09,6.36,192.19,coconut
17.98,30.21,29.13,35.23,52.25,4.98,98.0,mango
19.86,126.0,162.37,27.24,83.44,6.23,73.58,grapes
23.51,19.82,41.16,23.3,80.18,5.43,128.38,pomegranate
19.05,49.74,15.18,18.18,22.49,5.97,122.49,kidneybeans
24.44,129.66,188.15,22.07,82.9,6.67,71.83,grapes
75.89,42.63,41.45,21.73,72.52,6.71,231.64,jute
71.92,42.77,61.33,21.48,78.97,6.59,163.34,rice
102.21,40.71,48.76,26.09,75.56,7.45,88.54,cotton
13.21,38.26,26.47,30.43,87.4,6.96,30.33,mungbean
28.22,69.01,21.75,28.77,68.45,6.93,53.3,blackgram
23.59,77.08,24.25,19.0,16.48,5.51,95.29,kidneybeans
95.79,63.86,45.15,25.56,77.73,6.2,176.79,rice
22.68,122.73,177.54,24.93,79.66,6.71,43.49,grapes
19.15,142.72,191.54,23.42,95.89,6.03,107.4,apple
18.14,18.91,51.4,21.61,88.55,5.48,89.19,pomegranate
22.67,48.79,21.13,26.71,49.85,5.96,135.36,pigeonpeas
64.65,42.69,22.13,20.95,76.14,6.12,75.24,maize
89.49,41.87,19.55,20.91,73.18,6.28,108.93,maize
18.83,130.68,191.23,20.32,86.17,5.23,120.25,apple
24.17,74.77,16.45,25.89,50.39,5.66,111.35,pigeonpeas
10.32,19.44,27.27,28.33,94.67,6.04,207.33,coconut
20.71,82.16,10.91,25.77,59.35,5.17,139.19,pigeonpeas
45.42,40.31,50.59,30.71,94.86,6.61,151.11,papaya
46.07,60.92,42.4,30.87,94.84,6.5,105.62,papaya
25.91,64.33,82.01,15.74,18.12,7.21,77.04,chickpea
21.4,13.73,9.02,22.55,96.21,6.92,108.67,orange
83.29,44.27,45.88,26.75,77.67,6.08,188.76,rice
19.36,18.03,8.47,24.36,96.52,6.71,118.42,orange
16.93,68.58,16.95,23.54,56.46,6.45,80.38,lentil
21.05,25.62,37.48,30.75,37.06,6.45,97.98,mango
102.36,74.58,48.82,29.08,90.56,6.15,122.86,banana
90.63,79.53,51.89,27.12,78.47,6.01,64.7,banana
82.51,58.82,37.11,25.76,84.7,6.51,221.07,jute
20.22,133.36,198.21,22.17,75.62,5.27,88.22,grapes
44.69,50.64,34.54,33.58,87.78,6.84,161.98,papaya
29.15,127.99,205.0,23.79,94.37,6.06,110.74,apple
32.92,129.34,205.0,19.39,89.69,5.91,89.63,grapes
98.17,12.5,46.29,25.32,84.0,6.91,59.92,watermelon
125.57,39.2,30.95,25.42,78.81,6.84,68.49,cotton
25.57,61.0,18.06,19.81,23.43,5.98,131.83,kidneybeans
93.59,7.37,61.39,26.14,83.41,6.48,29.71,watermelon
27.38,73.4,17.07,26.7,34.65,5.39,153.23,pigeonpeas
14.09,62.26,19.92,29.02,52.59,6.58,42.67,lentil
109.47,20.22,45.33,28.92,94.23,5.75,26.35,muskmelon
82.74,61.29,64.56,28.73,74.75,6.11,98.33,banana
18.76,78.23,13.48,24.31,68.02,7.65,43.24,lentil
20.57,131.14,188.37,21.17,86.57,6.54,130.99,apple
19.48,65.11,23.47,17.65,25.09,5.71,112.73,kidneybeans
12.84,32.83,33.0,30.59,57.08,5.61,128.26,mango
75.52,50.24,7.88,20.72,64.21,6.4,105.8,maize
18.08,12.01,12.52,21.15,96.54,7.7,123.25,orange
21.86,27.96,31.57,26.12,48.54,5.7,96.13,mango
22.8,7.3,24.16,30.07,89.51,5.22,169.46,coconut
89.15,49.73,38.48,23.68,79.41,6.27,192.79,rice
17.5,7.02,9.63,21.24,92.04,7.29,106.12,orange
102.11,34.42,32.77,28.12,70.06,6.73,118.71,coffee
140.0,49.25,52.68,23.93,72.44,7.31,74.09,cotton
18.85,64.63,21.02,27.33,42.3,4.95,137.71,pigeonpeas
40.93,77.37,9.73,26.21,47.0,6.99,70.9,blackgram
97.84,9.51,42.15,27.95,91.13,6.36,20.0,muskmelon
17.05,62.59,22.76,22.54,83.87,6.7,59.28,mungbean
117.52,24.69,34.66,22.46,72.9,7.04,133.55,coffee
90.31,47.93,24.81,22.96,79.88,6.67,277.2,rice
110.55,17.62,46.04,26.57,92.73,6.47,26.79,muskmelon
39.37,69.07,50.0,39.17,91.61,6.61,151.7,papaya
67.42,49.61,52.51,34.63,92.72,7.32,129.07,papaya
23.49,55.2,23.4,26.21,91.95,6.87,46.88,mungbean
21.39,133.74,183.14,20.8,70.22,5.88,67.39,grapes
20.72,20.3,38.26,32.31,67.65,5.73,108.53,mango
15.17,63.34,23.78,33.46,90.53,7.18,55.48,mungbean
48.58,73.82,65.62,17.22,16.38,7.3,85.55,chickpea
81.99,49.97,27.89,19.93,68.97,6.65,96.16,maize
20.3,29.38,25.8,31.71,39.39,6.18,65.84,mango
10.89,10.97,37.92,18.22,84.34,6.72,148.82,pomegranate
20.23,24.41,23.35,30.9,96.26,5.69,192.43,coconut
13.3,33.65,31.63,34.46,55.15,6.59,113.51,mango
84.22,47.67,17.77,24.99,58.97,6.81,114.42,maize
20.38,16.95,30.77,24.44,96.66,5.22,199.04,coconut
19.02,46.79,26.52,30.55,46.8,3.5,50.05,mothbeans
112.9,73.6,41.08,27.71,79.9,5.05,78.74,banana
13.02,16.73,22.13,32.95,93.77,5.67,214.81,coconut
70.92,56.43,35.15,23.65,86.72,6.55,214.43,rice
12.97,66.36,25.77,25.93,53.56,5.9,161.55,pigeonpeas
111.17,30.18,31.52,24.4,49.24,6.56,176.0,coffee
47.46,74.93,91.88,13.63,17.4,7.21,55.59,chickpea
21.14,19.62,30.36,27.69,96.3,6.1,178.77,coconut
24.76,82.78,17.45,27.22,54.23,5.36,162.33,pigeonpeas
63.7,42.84,42.74,31.16,91.51,7.07,155.63,papaya
103.22,14.57,47.79,32.56,89.87,6.09,20.0,muskmelon
24.65,48.79,21.94,28.04,85.18,7.02,41.17,mungbean
98.52,45.69,42.16,21.21,73.84,5.67,245.89,rice
104.74,30.24,31.64,25.28,61.61,7.02,148.18,coffee
44.7,65.14,17.71,29.33,73.67,7.37,79.3,blackgram
12.81,22.85,49.25,19.97,86.17,5.7,130.42,pomegranate
22.94,128.7,204.85,17.98,97.45,5.43,105.77,apple
95.09,11.47,53.56,25.24,82.16,6.53,53.82,watermelon
34.85,67.17,78.2,16.39,14.66,6.28,96.59,chickpea
108.39,12.33,58.89,26.61,87.35,6.26,53.23,watermelon
93.48,72.69,49.69,25.41,78.44,6.55,135.85,banana
93.26,23.67,25.81,30.74,49.53,6.34,138.77,coffee
96.82,22.42,34.18,27.2,63.56,7.52,177.88,coffee
14.1,81.2,14.54,21.72,22.68,6.26,125.23,kidneybeans
22.16,45.12,21.61,26.64,47.15,3.72,51.19,mothbeans
95.76,19.66,49.31,23.79,83.75,5.75,46.03,watermelon
36.86,62.76,24.14,29.01,63.33,6.52,78.55,blackgram
116.05,78.1,44.97,27.48,77.75,5.79,142.04,banana
101.64,37.94,41.72,27.48,80.76,6.53,71.38,cotton
20.25,72.84,22.1,24.14,15.97,5.61,114.27,kidneybeans
70.45,72.55,16.54,17.27,53.48,5.82,103.69,maize
101.57,20.18,58.01,29.69,99.58,6.51,26.21,muskmelon
18.71,17.26,5.0,19.16,96.93,6.34,105.73,orange
16.77,13.75,51.8,17.24,100.0,6.44,95.43,pomegranate
104.32,42.29,25.59,19.99,73.08,5.6,33.18,maize
98.67,20.27,56.58,27.16,82.43,6.24,25.04,muskmelon
20.01,127.05,195.74,23.83,82.33,5.56,53.47,grapes
55.14,52.56,54.11,32.58,90.02,6.28,125.52,papaya
94.37,18.09,57.38,25.91,90.45,6.54,25.03,muskmelon
14.68,17.46,8.85,18.65,89.76,7.1,110.57,orange
111.21,20.98,46.27,28.27,91.44,6.82,20.0,muskmelon
76.89,35.64,38.55,21.82,83.8,6.61,187.54,jute
27.94,108.46,195.13,22.81,83.36,6.27,75.85,grapes
70.55,59.08,47.27,19.68,78.37,6.6,148.6,jute
71.8,41.13,36.83,25.62,80.76,6.58,211.61,jute
124.04,30.26,27.58,21.26,56.07,6.77,143.97,coffee
112.12,40.03,41.1,24.21,75.89,7.68,62.81,cotton
18.7,20.53,35.87,19.81,100.0,5.77,98.41,pomegranate
124.82,44.98,44.19,31.46,77.42,6.79,81.85,cotton
12.0,58.01,17.61,20.88,15.49,5.55,109.83,kidneybeans
18.23,13.6,8.37,22.83,99.55,6.96,125.36,orange
99.77,27.47,23.48,19.61,54.79,6.87,174.71,coffee
27.67,71.62,16.21,22.58,18.5,5.83,97.96,kidneybeans
29.76,118.28,205.0,28.23,83.0,5.83,66.67,grapes
21.82,125.16,205.0,23.39,80.65,5.94,75.05,grapes
29.63,63.43,84.52,21.49,16.46,6.86,83.05,chickpea
22.6,26.61,42.09,26.79,54.83,5.41,67.94,mango
21.45,11.27,32.39,22.15,94.06,6.37,135.93,pomegranate
43.4,67.14,47.51,34.36,88.72,6.83,135.09,papaya
20.2,75.82,21.15,16.63,23.2,5.62,115.0,kidneybeans
76.81,29.65,27.34,25.61,59.29,6.27,181.1,coffee
13.9,20.65,41.75,22.16,98.25,5.79,105.83,pomegranate
24.99,49.46,25.94,24.79,92.41,6.19,41.86,mungbean
43.4,64.39,62.47,28.48,95.75,6.8,115.43,papaya
24.94,70.48,19.22,23.22,21.15,5.42,100.88,kidneybeans
22.15,53.85,15.12,28.96,55.49,3.56,46.54,mothbeans
27.86,11.12,30.6,25.61,89.99,6.24,156.14,coconut
26.58,63.52,16.02,18.74,61.46,7.51,53.81,lentil
15.42,13.57,37.84,23.15,90.29,5.71,101.46,pomegranate
19.14,29.99,36.55,23.84,59.12,5.14,54.8,mango
18.47,71.98,14.79,25.22,72.75,6.55,26.43,lentil
43.12,70.34,18.38,27.67,69.87,6.81,47.78,blackgram
110.5,73.23,58.45,25.99,74.68,5.39,103.73,banana
98.34,5.0,52.93,28.89,77.13,6.9,54.06,watermelon
107.32,72.51,46.74,23.11,82.0,5.81,97.17,banana
109.22,14.62,56.77,23.82,91.61,7.01,57.7,watermelon
23.21,15.65,9.09,24.53,93.09,6.66,112.41,orange
78.18,63.8,17.21,22.11,67.42,6.22,66.21,maize
15.51,87.42,14.83,24.12,51.62,7.37,56.48,lentil
113.53,80.51,61.92,29.87,83.5,5.69,92.25,banana
16.92,70.64,21.31,24.46,23.14,6.04,95.97,kidneybeans
38.71,62.52,43.03,33.8,82.87,6.54,141.78,papaya
25.8,41.67,15.77,27.98,92.36,6.02,36.21,mungbean
24.0,25.69,24.36,24.5,92.29,5.24,172.38,coconut
110.75,45.5,46.21,22.8,74.04,6.94,62.02,cotton
20.2,21.52,52.75,21.05,93.42,6.07,81.92,pomegranate
49.57,55.74,47.38,29.74,100.0,5.95,156.8,papaya
59.59,47.51,13.6,27.05,62.62,6.01,88.21,maize
94.42,38.02,31.96,22.1,81.81,7.36,40.0,cotton
35.01,134.95,174.53,19.81,93.5,6.59,104.01,apple
17.49,141.43,205.0,21.03,80.25,5.89,42.83,grapes
98.12,24.18,38.29,24.4,54.1,6.61,151.84,coffee
83.62,27.33,24.58,27.05,71.49,5.88,134.95,coffee
115.1,21.46,56.47,25.81,88.99,6.62,41.99,watermelon
83.36,48.78,40.53,27.59,73.32,6.19,157.49,jute
50.6,74.34,31.7,26.76,74.87,6.79,78.93,blackgram
23.04,23.79,33.68,33.99,49.82,5.77,86.28,mango
121.73,39.39,35.64,29.91,74.9,7.18,54.17,cotton
75.37,25.81,45.71,22.56,84.85,6.64,219.63,rice
23.1,23.11,11.83,23.53,88.55,7.49,63.49,orange
19.38,129.91,202.21,20.87,79.68,5.82,60.34,grapes
42.61,54.83,14.65,27.55,60.68,7.39,67.05,blackgram
29.34,42.24,21.75,23.84,81.66,6.78,50.27,mungbean
108.11,23.01,37.71,22.32,78.27,6.66,50.01,watermelon
70.22,45.18,19.67,18.93,67.63,7.31,97.0,maize
24.8,53.34,8.38,19.37,61.15,7.17,59.93,lentil
18.69,65.19,28.37,19.87,19.75,6.26,134.63,kidneybeans
18.08,110.59,205.0,22.1,80.36,5.75,98.88,grapes
62.75,43.08,36.85,25.61,83.33,6.21,273.37,rice
17.23,22.65,11.77,22.51,87.59,7.03,118.43,orange
47.42,66.78,111.93,17.73,14.0,6.78,76.12,chickpea
26.71,145.0,205.0,17.36,85.72,5.61,51.3,grapes
96.64,8.12,38.95,24.75,92.05,6.34,34.62,muskmelon
17.55,131.81,203.88,19.41,88.54,6.48,111.52,apple
15.56,69.07,16.17,28.1,65.44,7.53,36.99,lentil
17.02,40.11,36.22,26.85,52.3,3.5,47.36,mothbeans
26.04,50.66,21.06,30.13,50.44,3.5,27.52,mothbeans
88.53,54.49,18.59,21.76,68.52,6.15,88.69,maize
27.79,59.72,82.83,18.96,14.0,6.74,70.94,chickpea
31.9,16.64,39.87,21.77,94.47,5.55,80.35,pomegranate
88.92,26.77,51.36,22.22,85.52,6.41,42.14,watermelon
20.05,13.71,11.69,19.15,100.0,7.21,112.46,orange
20.82,44.55,12.63,23.7,42.77,3.62,54.65,mothbeans
82.93,39.68,21.71,21.92,59.49,7.04,74.08,maize
10.36,79.96,22.76,31.97,53.77,6.73,133.03,pigeonpeas
16.06,24.51,37.05,22.1,91.67,5.65,115.65,pomegranate
16.66,58.54,22.77,25.5,49.07,5.41,85.83,pigeonpeas
25.27,124.58,205.0,24.62,77.23,5.52,52.07,grapes
33.56,41.39,17.76,24.68,57.56,3.56,39.8,mothbeans
12.01,84.39,10.77,19.96,25.95,5.29,116.9,kidneybeans
16.92,57.53,9.62,23.4,57.54,3.5,78.2,mothbeans
88.28,41.11,44.41,23.23,77.28,7.17,150.74,jute
27.45,142.52,153.72,22.53,95.18,5.78,87.59,apple
121.62,56.76,51.99,22.58,76.02,6.75,86.98,cotton
16.4,63.66,19.17,27.76,66.0,6.85,63.99,lentil
114.6,24.86,32.96,23.61,55.95,6.98,177.87,coffee
116.08,62.65,52.25,29.04,78.12,6.08,87.05,banana
30.0,118.38,188.44,27.56,84.6,6.74,73.43,grapes
19.7,42.23,17.1,30.38,88.59,6.3,47.86,mungbean
47.72,59.76,52.42,31.59,100.0,6.65,133.22,papaya
71.75,36.77,23.25,25.24,63.8,5.91,93.74,maize
109.76,20.55,28.31,27.05,49.76,6.87,173.91,coffee
83.7,12.03,55.61,21.37,82.74,6.18,69.68,watermelon
24.23,74.45,17.68,25.16,54.06,5.44,146.68,pigeonpeas
33.22,67.68,23.63,30.84,67.49,7.64,74.88,blackgram
22.79,55.05,23.04,25.26,83.45,6.68,45.28,mungbean
56.05,57.9,99.39,15.74,14.15,7.43,78.48,chickpea
33.47,62.76,15.7,29.57,51.4,5.42,166.09,pigeonpeas
74.7,36.53,42.81,24.9,88.75,6.92,221.33,rice
95.36,31.42,19.53,29.66,59.54,6.61,153.09,coffee
105.39,27.35,28.0,26.95,51.86,7.53,144.45,coffee
68.22,38.81,29.41,16.99,68.38,5.52,109.38,maize
23.38,11.76,11.21,19.99,94.39,7.46,104.32,orange
98.24,17.23,56.12,27.16,98.37,6.57,20.0,muskmelon
22.99,145.0,172.87,25.95,95.12,4.72,129.51,apple
39.0,62.64,47.36,36.08,92.31,7.25,115.2,papaya
43.58,89.77,22.45,38.81,66.59,6.93,55.15,blackgram
81.95,13.18,48.71,19.78,84.37,6.38,60.76,watermelon
43.56,62.71,85.47,19.65,14.0,7.45,98.52,chickpea
22.43,13.55,9.06,25.56,85.59,7.45,131.47,orange
15.36,25.38,41.15,28.1,89.59,5.41,158.21,pomegranate
57.88,61.62,40.75,29.74,90.08,6.82,121.52,papaya
19.67,125.13,197.17,18.05,93.12,5.63,109.61,apple
30.45,56.14,27.24,22.16,16.55,4.91,99.3,kidneybeans
22.96,75.93,18.21,19.48,17.33,5.82,87.4,kidneybeans
86.46,15.77,47.42,29.3,80.07,6.45,65.0,watermelon
84.7,49.5,44.44,22.16,87.88,6.41,178.02,jute
18.5,24.76,26.55,37.36,48.14,5.71,78.49,mango
17.07,20.2,52.41,23.05,95.36,6.18,64.8,pomegranate
51.03,67.41,12.49,25.59,85.58,6.93,57.98,blackgram
115.75,52.03,40.65,29.35,80.5,6.53,74.91,cotton
23.58,48.33,23.48,23.37,29.23,5.52,90.15,kidneybeans
14.36,15.38,30.85,32.22,87.74,6.25,179.9,coconut
82.42,45.6,49.54,24.65,75.86,6.38,208.4,rice
14.27,65.42,24.41,20.35,64.7,6.71,28.99,lentil
72.38,40.02,16.59,23.43,67.25,6.5,119.23,maize
38.89,67.79,93.17,22.92,15.33,6.98,97.02,chickpea
93.99,15.83,47.96,19.83,92.43,6.7,20.0,muskmelon
16.41,17.19,6.51,20.74,85.37,7.23,118.17,orange
10.8,13.93,30.32,21.18,89.27,5.64,108.1,pomegranate
50.32,82.93,69.93,22.84,17.44,7.42,85.25,chickpea
21.8,50.31,22.6,25.48,64.88,7.14,36.93,lentil
94.65,57.84,21.22,22.67,69.78,6.48,77.24,maize
19.04,64.53,14.5,16.02,17.59,6.28,107.47,kidneybeans
11.74,32.42,28.06,28.95,97.25,5.68,180.26,coconut
106.87,12.55,44.63,26.63,94.64,6.45,34.16,muskmelon
81.91,19.14,43.63,24.51,87.04,5.75,53.89,watermelon
20.43,49.28,21.39,25.83,61.93,3.79,41.25,mothbeans
88.14,45.86,17.18,25.14,70.61,7.01,88.41,maize
72.55,62.47,21.25,28.23,71.96,5.84,112.8,maize
30.29,42.93,15.86,26.42,65.22,3.5,51.03,mothbeans
31.64,64.28,98.73,15.19,16.84,7.83,20.0,chickpea
51.31,51.01,18.65,27.21,66.68,6.96,58.78,blackgram
68.89,50.51,45.81,27.26,89.66,6.1,173.46,jute
56.33,56.9,49.66,39.91,90.48,6.82,160.58,papaya
22.74,80.21,23.34,21.54,22.93,5.36,105.07,kidneybeans
102.56,12.1,56.16,28.7,89.07,7.22,20.0,muskmelon
17.65,11.98,8.01,29.57,85.84,6.7,115.58,orange
29.82,67.77,18.33,31.08,59.75,6.72,85.93,blackgram
14.96,64.16,33.64,22.2,64.02,6.93,54.06,lentil
65.23,59.69,16.59,22.16,67.56,6.62,87.73,maize
21.97,54.56,16.2,23.57,53.69,3.5,36.51,mothbeans
15.84,14.17,27.36,22.66,85.23,6.04,70.23,pomegranate
21.26,48.01,15.82,28.48,45.46,3.64,64.29,mothbeans
95.12,17.53,41.46,23.69,77.95,5.95,67.07,watermelon
88.73,14.69,46.8,25.36,79.59,6.61,63.55,watermelon
12.28,47.22,16.19,29.75,93.08,6.59,56.96,mungbean
95.23,36.98,50.54,24.22,82.19,6.78,240.67,rice
99.7,19.51,49.58,29.5,94.0,6.76,20.0,muskmelon
15.57,61.3,20.09,27.47,44.98,5.87,152.96,pigeonpeas
77.66,49.04,30.62,23.23,84.49,6.26,256.3,rice
100.62,30.52,28.57,26.67,52.66,6.72,195.9,coffee
28.33,49.7,20.89,26.61,56.43,4.34,49.58,mothbeans
38.23,63.11,80.68,19.1,15.51,7.44,84.19,chickpea
101.17,68.61,60.87,25.89,74.24,6.35,118.26,banana
25.4,40.08,21.61,30.94,48.22,3.5,56.72,mothbeans
41.45,84.61,79.2,18.21,14.0,7.11,69.52,chickpea
17.48,73.1,19.19,25.4,65.86,6.78,40.8,lentil
93.69,10.44,48.5,20.74,82.66,5.94,48.85,watermelon
26.57,37.27,26.85,31.32,48.87,5.59,108.1,mango
72.95,39.05,44.09,26.35,81.46,6.77,231.73,jute
52.41,78.59,56.29,32.72,79.85,6.73,176.33,papaya
3.83,68.2,11.53,24.0,81.62,6.89,65.99,lentil
49.19,64.67,43.21,30.66,85.36,6.63,162.59,papaya
97.98,24.47,61.31,24.88,80.98,6.61,38.14,watermelon
39.03,51.85,92.17,16.16,14.0,7.45,92.32,chickpea
18.57,40.4,29.25,33.16,83.58,6.97,36.61,mungbean
91.93,8.41,60.89,30.1,81.69,6.91,25.13,muskmelon
23.7,62.3,23.33,23.05,20.5,5.94,112.35,kidneybeans
17.85,53.56,15.21,28.59,86.22,6.54,30.71,mungbean
29.81,52.54,49.16,34.97,88.59,6.33,140.58,papaya
19.74,67.92,10.65,26.58,50.27,6.24,95.72,pigeonpeas
27.3,54.98,20.04,26.82,36.48,3.87,20.0,mothbeans
96.1,25.62,31.68,23.98,68.4,6.9,129.76,coffee
19.97,56.76,26.28,29.49,80.56,6.71,36.31,mungbean
94.42,15.46,51.26,28.13,83.31,6.5,56.53,watermelon
21.56,144.66,183.32,18.29,84.53,6.25,68.56,grapes
31.17,83.43,92.81,20.42,23.05,6.89,104.78,chickpea
112.77,14.93,41.21,24.25,82.98,6.24,41.8,watermelon
25.83,30.63,35.66,29.91,49.09,6.12,99.72,mango
15.38,17.9,10.55,25.95,90.43,6.91,99.08,orange
17.05,10.35,14.56,20.95,93.13,7.25,114.3,orange
79.28,53.22,56.32,23.45,84.46,5.48,192.35,rice
74.56,50.87,35.28,20.99,84.58,6.12,247.8,rice
23.75,139.1,182.48,21.09,80.9,5.98,74.93,grapes
83.18,49.66,29.23,21.48,63.62,5.88,103.99,maize
24.39,45.29,17.71,31.71,63.0,3.66,50.16,mothbeans
26.83,57.64,26.21,23.74,67.57,6.39,47.89,lentil
123.26,57.52,19.25,21.91,77.41,7.21,88.05,cotton
74.98,52.14,20.48,23.3,76.31,6.62,221.39,rice
14.96,125.27,205.0,24.07,100.0,5.45,89.28,apple
23.54,10.45,8.61,20.23,81.69,7.52,102.87,orange
26.02,144.3,185.27,26.05,82.39,5.85,55.55,grapes
6.26,50.45,19.07,24.66,35.51,6.24,118.68,pigeonpeas
24.39,21.7,31.53,23.16,99.15,6.0,163.12,coconut
101.54,17.65,26.49,25.19,65.34,6.28,171.05,coffee
19.62,16.71,9.3,18.33,91.17,6.86,124.46,orange
18.27,8.9,8.56,23.39,92.39,6.82,111.61,orange
22.49,79.36,12.39,21.45,17.3,5.94,122.91,kidneybeans
112.65,46.84,53.81,26.39,84.76,6.89,38.11,cotton
112.98,30.84,46.84,28.14,82.13,7.02,49.1,watermelon
103.1,82.23,49.54,29.36,78.37,6.41,127.03,banana
86.36,81.26,41.69,32.89,80.2,6.5,126.46,banana
120.54,19.13,38.48,31.64,91.84,6.55,41.78,muskmelon
12.74,16.18,7.85,23.26,94.43,7.25,110.68,orange
16.96,136.46,205.0,23.16,81.22,6.21,91.38,grapes
22.47,63.78,14.22,26.29,84.21,6.8,23.73,mungbean
27.9,73.8,16.85,22.61,17.42,5.89,110.06,kidneybeans
25.55,138.46,190.76,18.55,83.96,5.94,68.89,grapes
77.01,59.54,34.0,23.37,83.25,6.89,252.57,rice
83.76,39.34,29.22,24.58,84.74,6.52,196.23,rice
42.18,58.67,58.9,34.44,94.02,6.97,118.51,papaya
15.13,40.42,22.91,31.52,50.31,3.5,34.57,mothbeans
35.99,54.65,15.58,26.78,64.93,7.26,58.83,blackgram
89.31,37.86,35.16,20.99,78.83,6.29,201.78,rice
27.27,30.49,18.3,27.34,74.91,6.15,69.26,mungbean
15.65,74.2,18.08,18.36,19.67,5.45,145.25,kidneybeans
50.81,68.55,11.09,28.46,63.45,6.77,49.41,blackgram
13.13,40.9,15.5,31.54,86.78,6.67,48.06,mungbean
87.67,46.75,45.14,21.82,81.43,6.07,162.66,rice
22.85,61.96,28.09,27.18,59.62,7.04,74.01,lentil
88.47,74.62,38.23,29.84,78.73,6.67,83.82,banana
20.51,67.14,22.5,19.61,24.9,5.78,98.3,kidneybeans
90.57,31.8,33.47,20.19,78.24,6.4,198.37,rice
43.35,57.65,55.6,27.95,96.62,6.53,132.13,papaya
65.2,50.22,13.2,24.69,69.9,5.85,85.56,maize
11.78,76.22,18.04,17.93,29.35,6.06,100.91,kidneybeans
98.44,74.76,56.16,27.79,78.23,5.43,87.48,banana
43.93,56.3,100.63,20.85,15.83,7.43,79.49,chickpea
57.32,49.33,79.22,20.54,20.48,7.2,61.2,chickpea
21.93,34.96,32.06,33.86,58.68,5.52,55.2,mango
118.96,25.37,44.75,27.77,92.59,6.88,20.0,muskmelon
